id,table_name,primary_id,desc,date_created,session_id,terminal_session_id,created_on,modified_on
71077,order_checks,18743,Receipt,"2025-06-26 12:30:42",269,270,"2025-06-26 12:30:42","2025-06-26 12:30:42"
71076,order_checks,18751,Receipt,"2025-06-26 12:30:09",269,270,"2025-06-26 12:30:09","2025-06-26 12:30:09"
71075,order_checks,18750,Receipt,"2025-06-26 12:28:12",269,270,"2025-06-26 12:28:12","2025-06-26 12:28:12"
71074,order_checks,18749,Receipt,"2025-06-26 12:20:15",269,270,"2025-06-26 12:20:15","2025-06-26 12:20:15"
71073,order_checks,18748,Receipt,"2025-06-26 12:20:01",269,270,"2025-06-26 12:20:01","2025-06-26 12:20:01"
71072,order_checks,18747,Receipt,"2025-06-26 12:19:44",269,270,"2025-06-26 12:19:44","2025-06-26 12:19:44"
71071,order_checks,18746,Receipt,"2025-06-26 12:01:00",269,270,"2025-06-26 12:01:00","2025-06-26 12:01:00"
71070,order_checks,18741,Receipt,"2025-06-26 12:00:25",269,270,"2025-06-26 12:00:25","2025-06-26 12:00:25"
71069,order_checks,18743,Receipt,"2025-06-26 11:59:12",269,270,"2025-06-26 11:59:12","2025-06-26 11:59:12"
71068,order_checks,18745,Receipt,"2025-06-26 11:59:04",269,270,"2025-06-26 11:59:04","2025-06-26 11:59:04"
71067,order_checks,18744,Receipt,"2025-06-26 11:58:46",269,270,"2025-06-26 11:58:46","2025-06-26 11:58:46"
71066,order_checks,18742,Receipt,"2025-06-26 11:57:45",269,270,"2025-06-26 11:57:45","2025-06-26 11:57:45"
71065,order_checks,18744,Receipt,"2025-06-26 11:48:24",269,270,"2025-06-26 11:48:24","2025-06-26 11:48:24"
71064,order_checks,18743,Receipt,"2025-06-26 11:41:05",269,270,"2025-06-26 11:41:05","2025-06-26 11:41:05"
71063,order_checks,18741,Receipt,"2025-06-26 11:40:48",269,270,"2025-06-26 11:40:48","2025-06-26 11:40:48"
71062,order_checks,18742,Receipt,"2025-06-26 11:40:42",269,270,"2025-06-26 11:40:42","2025-06-26 11:40:42"
71061,order_checks,18742,Receipt,"2025-06-26 11:04:23",269,270,"2025-06-26 11:04:23","2025-06-26 11:04:23"
71060,order_checks,18741,Receipt,"2025-06-26 11:01:17",269,270,"2025-06-26 11:01:17","2025-06-26 11:01:17"
71059,order_checks,18741,Receipt,"2025-06-26 10:59:08",269,270,"2025-06-26 10:59:08","2025-06-26 10:59:08"
71058,terminals,269,"terminal report print","2025-06-25 21:01:20",268,269,"2025-06-25 21:01:20","2025-06-25 21:01:20"
71057,cash_tray_sessions,269,"cash tray report print","2025-06-25 21:00:49",268,269,"2025-06-25 21:00:49","2025-06-25 21:00:49"
71056,order_checks,18738,Receipt,"2025-06-25 20:41:35",268,269,"2025-06-25 20:41:35","2025-06-25 20:41:35"
71055,order_checks,18735,Receipt,"2025-06-25 20:40:25",268,269,"2025-06-25 20:40:25","2025-06-25 20:40:25"
71054,order_checks,18738,Receipt,"2025-06-25 20:35:48",268,269,"2025-06-25 20:35:48","2025-06-25 20:35:48"
71053,order_checks,18739,Receipt,"2025-06-25 20:33:36",268,269,"2025-06-25 20:33:36","2025-06-25 20:33:36"
71052,order_checks,18737,Receipt,"2025-06-25 20:31:36",268,269,"2025-06-25 20:31:36","2025-06-25 20:31:36"
71051,order_checks,18740,Receipt,"2025-06-25 20:22:11",268,269,"2025-06-25 20:22:11","2025-06-25 20:22:11"
71050,order_checks,18730,Receipt,"2025-06-25 20:20:55",268,269,"2025-06-25 20:20:55","2025-06-25 20:20:55"
71049,order_checks,18738,Receipt,"2025-06-25 20:17:09",268,269,"2025-06-25 20:17:09","2025-06-25 20:17:09"
71048,order_checks,18740,Receipt,"2025-06-25 20:16:31",268,269,"2025-06-25 20:16:31","2025-06-25 20:16:31"
71047,order_checks,18734,Receipt,"2025-06-25 20:10:35",268,269,"2025-06-25 20:10:35","2025-06-25 20:10:35"
71046,order_checks,18736,Receipt,"2025-06-25 20:04:37",268,269,"2025-06-25 20:04:37","2025-06-25 20:04:37"
71045,order_checks,18738,Receipt,"2025-06-25 19:58:45",268,269,"2025-06-25 19:58:45","2025-06-25 19:58:45"
71044,order_checks,18739,Receipt,"2025-06-25 19:56:49",268,269,"2025-06-25 19:56:49","2025-06-25 19:56:49"
71043,order_checks,18738,Receipt,"2025-06-25 19:54:15",268,269,"2025-06-25 19:54:15","2025-06-25 19:54:15"
71042,order_checks,18735,Receipt,"2025-06-25 19:51:19",268,269,"2025-06-25 19:51:19","2025-06-25 19:51:19"
71041,order_checks,18738,Receipt,"2025-06-25 19:50:45",268,269,"2025-06-25 19:50:45","2025-06-25 19:50:45"
71040,order_checks,18739,Receipt,"2025-06-25 19:48:42",268,269,"2025-06-25 19:48:42","2025-06-25 19:48:42"
71039,order_checks,18733,Receipt,"2025-06-25 19:48:24",268,269,"2025-06-25 19:48:24","2025-06-25 19:48:24"
71038,order_checks,18731,Receipt,"2025-06-25 19:47:55",268,269,"2025-06-25 19:47:55","2025-06-25 19:47:55"
71037,order_checks,18737,Receipt,"2025-06-25 19:46:46",268,269,"2025-06-25 19:46:46","2025-06-25 19:46:46"
71036,order_checks,18740,Receipt,"2025-06-25 19:46:33",268,269,"2025-06-25 19:46:33","2025-06-25 19:46:33"
71035,order_checks,18739,Receipt,"2025-06-25 19:42:13",268,269,"2025-06-25 19:42:13","2025-06-25 19:42:13"
71034,order_checks,18738,Receipt,"2025-06-25 19:42:04",268,269,"2025-06-25 19:42:04","2025-06-25 19:42:04"
71033,order_checks,18738,Receipt,"2025-06-25 19:37:21",268,269,"2025-06-25 19:37:21","2025-06-25 19:37:21"
71032,order_checks,18739,Receipt,"2025-06-25 19:36:02",268,269,"2025-06-25 19:36:02","2025-06-25 19:36:02"
71031,order_checks,18734,Receipt,"2025-06-25 19:35:50",268,269,"2025-06-25 19:35:50","2025-06-25 19:35:50"
71030,order_checks,18739,Receipt,"2025-06-25 19:34:27",268,269,"2025-06-25 19:34:27","2025-06-25 19:34:27"
71029,order_checks,18729,Receipt,"2025-06-25 19:33:32",268,269,"2025-06-25 19:33:32","2025-06-25 19:33:32"
71028,order_checks,18732,Receipt,"2025-06-25 19:25:32",268,269,"2025-06-25 19:25:32","2025-06-25 19:25:32"
71027,order_checks,18728,Receipt,"2025-06-25 19:22:24",268,269,"2025-06-25 19:22:24","2025-06-25 19:22:24"
71026,order_checks,18738,Receipt,"2025-06-25 19:22:13",268,269,"2025-06-25 19:22:13","2025-06-25 19:22:13"
71025,order_checks,18724,Receipt,"2025-06-25 19:19:41",268,269,"2025-06-25 19:19:41","2025-06-25 19:19:41"
71024,order_checks,18737,Receipt,"2025-06-25 19:19:15",268,269,"2025-06-25 19:19:15","2025-06-25 19:19:15"
71023,order_checks,18723,Receipt,"2025-06-25 19:18:14",268,269,"2025-06-25 19:18:14","2025-06-25 19:18:14"
71022,order_checks,18726,Receipt,"2025-06-25 19:13:34",268,269,"2025-06-25 19:13:34","2025-06-25 19:13:34"
71021,order_checks,18725,Receipt,"2025-06-25 19:12:36",268,269,"2025-06-25 19:12:36","2025-06-25 19:12:36"
71020,order_checks,18733,Receipt,"2025-06-25 19:07:16",268,269,"2025-06-25 19:07:16","2025-06-25 19:07:16"
71019,order_checks,18721,Receipt,"2025-06-25 19:06:38",268,269,"2025-06-25 19:06:38","2025-06-25 19:06:38"
71018,order_checks,18729,Receipt,"2025-06-25 19:06:08",268,269,"2025-06-25 19:06:08","2025-06-25 19:06:08"
71017,order_checks,18728,Receipt,"2025-06-25 19:06:03",268,269,"2025-06-25 19:06:03","2025-06-25 19:06:03"
71016,order_checks,18736,Receipt,"2025-06-25 19:05:55",268,269,"2025-06-25 19:05:55","2025-06-25 19:05:55"
71015,order_checks,18727,Receipt,"2025-06-25 19:00:11",268,269,"2025-06-25 19:00:11","2025-06-25 19:00:11"
71014,order_checks,18730,Receipt,"2025-06-25 18:57:13",268,269,"2025-06-25 18:57:13","2025-06-25 18:57:13"
71013,order_checks,18729,Receipt,"2025-06-25 18:56:51",268,269,"2025-06-25 18:56:51","2025-06-25 18:56:51"
71012,order_checks,18735,Receipt,"2025-06-25 18:54:52",268,269,"2025-06-25 18:54:52","2025-06-25 18:54:52"
71011,order_checks,18727,Receipt,"2025-06-25 18:53:11",268,269,"2025-06-25 18:53:11","2025-06-25 18:53:11"
71010,order_checks,18731,Receipt,"2025-06-25 18:52:50",268,269,"2025-06-25 18:52:50","2025-06-25 18:52:50"
71009,order_checks,18719,Receipt,"2025-06-25 18:46:06",268,269,"2025-06-25 18:46:06","2025-06-25 18:46:06"
71008,order_checks,18734,Receipt,"2025-06-25 18:44:12",268,269,"2025-06-25 18:44:12","2025-06-25 18:44:12"
71007,order_checks,18723,Receipt,"2025-06-25 18:43:48",268,269,"2025-06-25 18:43:48","2025-06-25 18:43:48"
71006,order_checks,18730,Receipt,"2025-06-25 18:41:11",268,269,"2025-06-25 18:41:11","2025-06-25 18:41:11"
71005,order_checks,18723,Receipt,"2025-06-25 18:40:59",268,269,"2025-06-25 18:40:59","2025-06-25 18:40:59"
71004,order_checks,18733,Receipt,"2025-06-25 18:40:41",268,269,"2025-06-25 18:40:41","2025-06-25 18:40:41"
71003,order_checks,18732,Receipt,"2025-06-25 18:36:50",268,269,"2025-06-25 18:36:50","2025-06-25 18:36:50"
71002,order_checks,18720,Receipt,"2025-06-25 18:34:50",268,269,"2025-06-25 18:34:50","2025-06-25 18:34:50"
71001,order_checks,18721,Receipt,"2025-06-25 18:31:13",268,269,"2025-06-25 18:31:13","2025-06-25 18:31:13"
71000,order_checks,18726,Receipt,"2025-06-25 18:28:00",268,269,"2025-06-25 18:28:00","2025-06-25 18:28:00"
70999,order_checks,18724,Receipt,"2025-06-25 18:27:11",268,269,"2025-06-25 18:27:11","2025-06-25 18:27:11"
70998,order_checks,18727,Receipt,"2025-06-25 18:27:04",268,269,"2025-06-25 18:27:04","2025-06-25 18:27:04"
70997,order_checks,18722,Receipt,"2025-06-25 18:26:23",268,269,"2025-06-25 18:26:23","2025-06-25 18:26:23"
70996,order_checks,18713,Receipt,"2025-06-25 18:25:20",268,269,"2025-06-25 18:25:20","2025-06-25 18:25:20"
70995,order_checks,18731,Receipt,"2025-06-25 18:23:16",268,269,"2025-06-25 18:23:16","2025-06-25 18:23:16"
70994,order_checks,18725,Receipt,"2025-06-25 18:22:28",268,269,"2025-06-25 18:22:28","2025-06-25 18:22:28"
70993,order_checks,18720,Receipt,"2025-06-25 18:19:49",268,269,"2025-06-25 18:19:49","2025-06-25 18:19:49"
70992,order_checks,18715,Receipt,"2025-06-25 18:17:43",268,269,"2025-06-25 18:17:43","2025-06-25 18:17:43"
70991,order_checks,18730,Receipt,"2025-06-25 18:12:12",268,269,"2025-06-25 18:12:12","2025-06-25 18:12:12"
70990,order_checks,18729,Receipt,"2025-06-25 18:11:58",268,269,"2025-06-25 18:11:58","2025-06-25 18:11:58"
70989,order_checks,18723,Receipt,"2025-06-25 18:10:29",268,269,"2025-06-25 18:10:29","2025-06-25 18:10:29"
70988,order_checks,18728,Receipt,"2025-06-25 18:10:16",268,269,"2025-06-25 18:10:16","2025-06-25 18:10:16"
